dt,marketplace,num_trades,num_users,unique_buyers,unique_sellers,eth_value_traded,usd_value_traded,|,new_users,new_buyers,new_sellers,| (1),pct_new_users,pct_new_buyers,pct_new_sellers,| (2),num_trades_7dma,num_users_7dma,eth_value_traded_7dma,usd_value_traded_7dma,| (3),num_trades_30dma,num_users_30dma,eth_value_traded_30dma,usd_value_traded_30dma,| (4),running_num_trades_in_period,total_users_in_period,total_buyers_in_period,total_sellers_in_period,running_eth_value_traded_in_period,running_usd_value_traded_in_period,| (5),running_num_trades,total_users,total_buyers,total_sellers,running_eth_value_traded,running_usd_value_traded
2022-10-27T00:00:00Z,Quix,3189,2910,1639,1738,25.34303021777711,39337.81462468362,|,1343,1124,826,|,0.46151202749140896,0.38625429553264606,0.2838487972508591,|,3266.8571428571427,2983.8571428571427,43.85283903546932,60797.73086296005,|,2823.266666666667,2659.9666666666667,25.781866454980285,34635.40903622198,|,163719,78599,54109,50052,2165.1097406985627,3.0449518875706005e+06,|,165819,78599,54109,50052,2168.7529649995627,3.050336414808656e+06
2022-10-26T00:00:00Z,OpenSea,294,259,101,164,3.5731292357261553,5439.8181598661795,|,150,66,98,|,0.5791505791505791,0.2548262548262548,0.3783783783783784,|,276.42857142857144,261.14285714285717,6.974951709210468,9388.902893859882,|,192.03333333333333,172.33333333333334,3.303860528034431,4374.499899784621,|,5794,3380,1777,1944,99.16698166104324,131320.34508126366,|,5794,3380,1777,1944,99.16698166104324,131320.34508126366
2022-10-26T00:00:00Z,Quix,3373,2934,1715,1644,28.664384681467855,43628.71340183351,|,1399,1145,827,|,0.47682344921608727,0.39025221540558963,0.28186775732788005,|,3159.5714285714284,2943.285714285714,44.143209803247046,60229.51739062318,|,2792.266666666667,2648.233333333333,25.516705372641923,34110.13449768127,|,160530,77256,52985,49226,2139.7667104807856,3.005614072945917e+06,|,162630,77256,52985,49226,2143.4099347817855,3.0109986001839726e+06
2022-10-25T00:00:00Z,OpenSea,238,226,103,132,8.28313143486336,11459.795907799999,|,97,56,55,|,0.42920353982300885,0.24778761061946902,0.24336283185840707,|,264.7142857142857,250.57142857142858,7.0871823666481095,9419.597567151859,|,182.46666666666667,163.8,3.184927871399109,4193.399770039082,|,5500,3230,1711,1846,95.59385242531708,125880.52692139748,|,5500,3230,1711,1846,95.59385242531708,125880.52692139748
2022-10-25T00:00:00Z,Quix,3432,3081,1799,1769,115.78447848261261,161931.7405234584,|,1541,1266,898,|,0.5001622849724116,0.41090555014605645,0.2914638104511522,|,2985.1428571428573,2839.8571428571427,42.58622822552385,57297.2982508153,|,2815.5666666666666,2680.233333333333,25.24037864337909,33545.60310158874,|,157157,75857,51840,48399,2111.102325799318,2.9619853595440835e+06,|,159257,75857,51840,48399,2114.745550100318,2.967369886782139e+06
2022-10-24T00:00:00Z,OpenSea,470,375,158,240,15.259076535941682,20522.362030366,|,207,107,131,|,0.552,0.2853333333333333,0.34933333333333333,|,260.2857142857143,247.85714285714286,6.775893398335457,8937.433182844003,|,174.56666666666666,156.33333333333334,2.9088568861824897,3811.451732445749,|,5262,3133,1655,1791,87.31072099045372,114420.73101359748,|,5262,3133,1655,1791,87.31072099045372,114420.73101359748
2022-10-24T00:00:00Z,Quix,4060,3497,1937,2048,44.177388334008576,59408.1306535486,|,1518,1228,923,|,0.43408635973691734,0.35115813554475267,0.26394052044609667,|,2717.4285714285716,2623.285714285714,28.398068708376343,37284.888505854484,|,2846.4,2721.6,22.26694148467222,29317.945182539657,|,153725,74316,50574,47501,1995.3178473167054,2.800053619020625e+06,|,155825,74316,50574,47501,1998.9610716177053,2.8054381462586806e+06
2022-10-23T00:00:00Z,OpenSea,230,230,104,139,6.277640849170766,8264.407500922,|,101,65,64,|,0.4391304347826087,0.2826086956521739,0.2782608695652174,|,259.57142857142856,241.85714285714286,5.710473739033722,7471.759059130572,|,159.03333333333333,144,2.4006080059915518,3128.0442129489657,|,4792,2926,1548,1660,72.05164445451203,93898.36898323148,|,4792,2926,1548,1660,72.05164445451203,93898.36898323148
2022-10-23T00:00:00Z,Quix,3506,3157,1774,1895,35.11480802994912,46235.84769116909,|,1630,1244,1031,|,0.5163129553373456,0.39404497941083305,0.326575863161229,|,2545,2459.5714285714284,26.062784285438358,34034.073469415496,|,2882.1,2780.7,21.806319122876808,28684.97770510147,|,149665,72798,49346,46578,1951.1404589826968,2.7406454883670765e+06,|,151765,72798,49346,46578,1954.7836832836967,2.746030015605132e+06
2022-10-22T00:00:00Z,OpenSea,279,275,122,160,6.915115455354838,9027.046734933008,|,142,88,72,|,0.5163636363636364,0.32,0.26181818181818184,|,388.57142857142856,303,7.959386382940815,10338.12938256143,|,151.56666666666666,136.43333333333334,2.1921448490678457,2853.960324291149,|,4562,2825,1483,1596,65.77400360534126,85633.96148230949,|,4562,2825,1483,1596,65.77400360534126,85633.96148230949
2022-10-22T00:00:00Z,Quix,2684,2651,1487,1572,29.541820337275595,38574.4227055482,|,1269,1010,796,|,0.4786872878159185,0.38098830629950964,0.3002640513013957,|,2468.285714285714,2397.285714285714,26.12424470344963,33958.68017784149,|,2945.6666666666665,2873.5666666666666,21.819704565495165,28704.419236509464,|,146159,71168,48102,45547,1916.0256509527478,2.6944096406759075e+06,|,148259,71168,48102,45547,1919.6688752537477,2.699794167913963e+06
2022-10-21T00:00:00Z,OpenSea,189,204,80,134,4.216944888243124,5443.092311322001,|,127,61,78,|,0.6225490196078431,0.29901960784313725,0.38235294117647056,|,368.57142857142856,289.42857142857144,7.113870625127818,9232.123782913859,|,142.36666666666667,127.33333333333333,1.961677643601025,2553.1214890933825,|,4283,2683,1395,1524,58.85888814998642,76606.91474737648,|,4283,2683,1395,1524,58.85888814998642,76606.91474737648
2022-10-21T00:00:00Z,Quix,2624,2657,1357,1635,28.343963165194374,36467.44644047891,|,1085,829,719,|,0.4083552879187053,0.3120060218291306,0.27060594655626646,|,2441.8571428571427,2343.285714285714,23.98577312017709,31135.107725902526,|,2996.7,2922.3333333333335,21.892937305690165,28774.934104683878,|,143475,69899,47092,44751,1886.4838306154722,2.655835217970359e+06,|,145575,69899,47092,44751,1890.1270549164722,2.6612197452084147e+06
2022-10-20T00:00:00Z,OpenSea,235,259,94,172,4.299623565173355,5565.797611809998,|,146,69,87,|,0.5637065637065637,0.26640926640926643,0.3359073359073359,|,347.85714285714283,268.2857142857143,6.547576676376413,8502.211859902223,|,136.26666666666668,120.73333333333333,1.8212712968348197,2371.9312712784817,|,4094,2556,1334,1446,54.64194326174329,71163.82243605447,|,4094,2556,1334,1446,54.64194326174329,71163.82243605447
2022-10-20T00:00:00Z,Quix,2438,2626,1474,1615,27.37562559222118,35360.32031832555,|,1214,982,812,|,0.4623000761614623,0.37395277989337394,0.3092155369383092,|,2311.8571428571427,2208,21.706974983968742,28261.45767636701,|,3079.0333333333333,3006.0666666666666,34.717388382987146,45984.606259257314,|,140851,68814,46263,44032,1858.139867450278,2.6193677715298804e+06,|,142951,68814,46263,44032,1861.7830917512779,2.624752298767936e+06
2022-10-19T00:00:00Z,OpenSea,212,185,69,121,4.358743837789648,5654.68087291001,|,90,47,52,|,0.4864864864864865,0.25405405405405407,0.2810810810810811,|,334.7142857142857,248.57142857142858,6.05215003733354,7859.120044843068,|,128.5,112.2,1.6779842240769782,2186.457691774815,|,3859,2410,1265,1359,50.34231969656994,65598.02482424446,|,3859,2410,1265,1359,50.34231969656994,65598.02482424446
2022-10-19T00:00:00Z,Quix,2152,2210,1222,1304,17.765513637405476,23103.17942317832,|,1072,842,638,|,0.4850678733031674,0.38099547511312215,0.28868778280542984,|,2241.4285714285716,2113.1428571428573,20.034524416178886,26054.94623967233,|,3063.233333333333,2979.233333333333,43.57702811755734,58036.8970586672,|,138413,67600,45281,43220,1830.7642418580567,2.584007451211555e+06,|,140513,67600,45281,43220,1834.4074661590566,2.5893919784496105e+06
2022-10-18T00:00:00Z,OpenSea,207,207,76,142,6.104108656674792,8084.645217644993,|,91,42,67,|,0.4396135265700483,0.2028985507246377,0.32367149758454106,|,318.14285714285717,236,5.5877262109681975,7256.525737220353,|,121.56666666666666,106.1,1.532785861959343,1998.1114650444817,|,3647,2320,1218,1307,45.98357585878029,59943.34395133445,|,3647,2320,1218,1307,45.98357585878029,59943.34395133445
2022-10-18T00:00:00Z,Quix,1558,1565,902,948,16.46736186258009,21844.872308732698,|,656,573,446,|,0.4191693290734824,0.3661341853035144,0.28498402555910546,|,2281,2120.1428571428573,20.251222352520024,26320.77852121533,|,3010.766666666667,2924.3,43.53056700344864,57987.83380449951,|,136261,66528,44439,42582,1812.9987282206512,2.5609042717883764e+06,|,138361,66528,44439,42582,1816.641952521651,2.566288799026432e+06
2022-10-17T00:00:00Z,OpenSea,465,333,166,190,7.801138920829523,10262.643164372003,|,192,113,119,|,0.5765765765765766,0.33933933933933935,0.35735735735735735,|,298.7142857142857,215.42857142857142,4.77373102742339,6176.297930465352,|,118.62068965517241,102.62068965517241,1.3751540414519139,1788.2309908168777,|,3440,2229,1176,1240,39.8794672021055,51858.69873368945,|,3440,2229,1176,1240,39.8794672021055,51858.69873368945
2022-10-17T00:00:00Z,Quix,2853,2351,1252,1445,27.830397373442644,36652.42539847569,|,934,692,659,|,0.3972777541471714,0.2943428328370906,0.2803062526584432,|,2300.714285714286,2109,19.426227067779433,25161.072314390625,|,2996,2909.866666666667,43.555286483282664,58074.01722031702,|,134703,65872,43866,42136,1796.5313663580712,2.539059399479644e+06,|,136803,65872,43866,42136,1800.174590659071,2.5444439267176995e+06
2022-10-16T00:00:00Z,OpenSea,1133,658,359,378,22.020029356520432,28328.999764938013,|,578,336,334,|,0.878419452887538,0.5106382978723404,0.5075987841945289,|,251.14285714285714,186.28571428571428,3.7003848266716886,4764.276963503923,|,106.25,94.39285714285714,1.1456545814741421,1485.5734131899087,|,2975,2037,1063,1121,32.07832828127598,41596.05556931745,|,2975,2037,1063,1121,32.07832828127598,41596.05556931745
2022-10-16T00:00:00Z,Quix,2969,2721,1378,1652,35.54503095602806,45708.09465015108,|,1063,701,779,|,0.3906651966188901,0.25762587284086735,0.2862918044836457,|,2106.285714285714,2007.4285714285713,16.81934637663842,21722.964125752398,|,2916,2848.1666666666665,43.767069293948104,58484.319814895935,|,131850,64938,43174,41477,1768.7009689846286,2.5024069740811684e+06,|,133950,64938,43174,41477,1772.3441932856285,2.507791501319224e+06
2022-10-15T00:00:00Z,OpenSea,139,180,82,99,0.9965051506638586,1285.0075374000003,|,122,42,82,|,0.6777777777777778,0.23333333333333334,0.45555555555555555,|,100.28571428571429,104.85714285714286,0.5940654758334123,769.2673150713503,|,68.22222222222223,73.51851851851852,0.37252958980576095,491.3724371992382,|,1842,1459,727,787,10.058298924755546,13267.055804379432,|,1842,1459,727,787,10.058298924755546,13267.055804379432
2022-10-15T00:00:00Z,Quix,2499,2273,1045,1478,14.57251925436779,18809.41554197545,|,868,604,629,|,0.38187417509898813,0.2657281126264848,0.27672679278486584,|,2018.5714285714287,1954.4285714285713,13.98408516558423,18152.182847703993,|,2835.0666666666666,2774.4666666666667,43.4063834999581,58165.86389730955,|,128881,63875,42473,40698,1733.1559380286005,2.456698879431017e+06,|,130981,63875,42473,40698,1736.7991623296004,2.462083406669073e+06
2022-10-14T00:00:00Z,OpenSea,44,56,21,35,0.2528872469832836,333.7088502405531,|,24,12,13,|,0.42857142857142855,0.21428571428571427,0.23214285714285715,|,92.14285714285714,91.14285714285714,0.501106806061361,651.2903377999216,|,65.5,69.42307692307692,0.34853052977275717,460.8480102684397,|,1703,1337,685,705,9.061793774091687,11982.048266979431,|,1703,1337,685,705,9.061793774091687,11982.048266979431
2022-10-14T00:00:00Z,Quix,1714,1710,918,1029,12.392376211735963,16351.896093730264,|,653,510,476,|,0.38187134502923975,0.2982456140350877,0.2783625730994152,|,2126.285714285714,2053.4285714285716,14.751508760371546,19252.651839009344,|,2765.0333333333333,2715.6,43.141123806410505,57887.456752036975,|,126382,63007,41869,40069,1718.5834187742328,2.437889463889042e+06,|,128482,63007,41869,40069,1722.2266430752327,2.4432739911270975e+06
2022-10-13T00:00:00Z,OpenSea,143,121,38,86,0.8316370918732485,1064.1549063958996,|,68,31,43,|,0.5619834710743802,0.256198347107438,0.35537190082644626,|,97.71428571428571,96.14285714285714,0.495712466240919,645.0883561203997,|,66.36,69.96,0.35235626108433615,465.9335766695551,|,1659,1313,673,692,8.808906527108403,11648.339416738878,|,1659,1313,673,692,8.808906527108403,11648.339416738878
2022-10-13T00:00:00Z,Quix,1945,1962,1081,1187,15.668471617692179,19914.740261462786,|,818,646,622,|,0.4169215086646279,0.3292558613659531,0.31702344546381245,|,2468.285714285714,2328,15.91224935831694,20872.691918478766,|,2745.133333333333,2689.6,48.982468666872094,67377.3272883482,|,124668,62354,41359,39593,1706.1910425624967,2.4215375677953116e+06,|,126768,62354,41359,39593,1709.8342668634966,2.426922095033367e+06
2022-10-12T00:00:00Z,OpenSea,96,97,32,66,1.1077770532322453,1436.5207195509988,|,62,26,38,|,0.6391752577319587,0.26804123711340205,0.3917525773195876,|,96.28571428571429,97.28571428571429,0.48963763779447816,647.0621665795569,|,63.166666666666664,67.83333333333333,0.33238622646813143,441.00768793095745,|,1516,1245,642,649,7.977269435235154,10584.184510342979,|,1516,1245,642,649,7.977269435235154,10584.184510342979
2022-10-12T00:00:00Z,Quix,2429,2259,1272,1441,19.282399191793473,24964.005393979325,|,1033,851,757,|,0.4572819831783975,0.3767153607791058,0.33510402833111996,|,2797.285714285714,2558.1428571428573,16.7775368017485,22268.703655733498,|,2697.5,2644,49.31771861534526,68096.08946433627,|,122723,61536,40713,38971,1690.5225709448046,2.4016228275338486e+06,|,124823,61536,40713,38971,1694.1657952458045,2.407007354771904e+06
2022-10-11T00:00:00Z,OpenSea,71,63,22,41,0.406142371861142,523.0505703599998,|,40,17,23,|,0.6349206349206349,0.2698412698412698,0.36507936507936506,|,95.57142857142857,97.57142857142857,0.39395018930815123,525.6809980979856,|,61.73913043478261,66.56521739130434,0.2986735818262134,397.7245126431295,|,1420,1183,616,611,6.869492382002909,9147.66379079198,|,1420,1183,616,611,6.869492382002909,9147.66379079198
2022-10-11T00:00:00Z,Quix,1696,1487,819,881,10.692394869395931,13726.92886095977,|,580,492,389,|,0.39004707464694016,0.3308675184936113,0.26160053799596505,|,2860,2636.714285714286,15.984214347320526,21345.712078414974,|,2637.4666666666667,2590.3,48.73079281690586,67360.73849741223,|,120294,60503,39862,38214,1671.240171753011,2.3766588221398694e+06,|,122394,60503,39862,38214,1674.883396054011,2.382043349377925e+06
2022-10-10T00:00:00Z,OpenSea,132,129,88,41,0.28771551556761243,378.4963956420002,|,101,79,22,|,0.7829457364341085,0.6124031007751938,0.17054263565891473,|,103.28571428571429,105.28571428571429,0.3940479520417895,529.4291357894142,|,61.31818181818182,66.72727272727273,0.29378863682462575,392.0278736559991,|,1349,1143,599,588,6.463350010141767,8624.61322043198,|,1349,1143,599,588,6.463350010141767,8624.61322043198
2022-10-10T00:00:00Z,Quix,1492,1640,838,974,9.582232535455558,12585.668078008111,|,622,475,390,|,0.37926829268292683,0.2896341463414634,0.23780487804878048,|,3002.5714285714284,2815.8571428571427,16.648792852768956,22333.80465769451,|,2609.2,2571.733333333333,48.459024847585994,67052.48019964775,|,118598,59923,39370,37825,1660.5477768836151,2.36293189327891e+06,|,120698,59923,39370,37825,1664.191001184615,2.3683164205169654e+06
2022-10-09T00:00:00Z,OpenSea,77,88,36,54,0.2757939006524955,363.93222590999994,|,51,27,27,|,0.5795454545454546,0.3068181818181818,0.3068181818181818,|,93.71428571428571,94,0.3813454803285727,512.6621562334142,|,57.95238095238095,63.76190476190476,0.2940778330749597,392.67222975190384,|,1217,1042,520,566,6.175634494574155,8246.11682478998,|,1217,1042,520,566,6.175634494574155,8246.11682478998
2022-10-09T00:00:00Z,Quix,2355,2350,1291,1430,15.698202478648707,20712.625703812224,|,1074,891,709,|,0.4570212765957447,0.3791489361702128,0.3017021276595745,|,3131.4285714285716,2939.1428571428573,18.031863720726978,24134.975763016784,|,2576.3333333333335,2531.2,48.183602347567664,66708.90661701495,|,117106,59301,38895,37435,1650.9655443481595,2.3503462252009017e+06,|,119206,59301,38895,37435,1654.6087686491594,2.3557307524389573e+06
2022-10-08T00:00:00Z,OpenSea,82,84,35,50,0.34579446225949956,459.1686964999998,|,58,29,31,|,0.6904761904761905,0.34523809523809523,0.36904761904761907,|,90.42857142857143,92.14285714285714,0.36025463037364663,484.53116785603424,|,57,62.55,0.29499202969608296,394.10922994399897,|,1140,991,493,539,5.899840593921659,7882.18459887998,|,1140,991,493,539,5.899840593921659,7882.18459887998
2022-10-08T00:00:00Z,Quix,3253,2966,1799,1864,19.944484417879004,26512.69848111293,|,1484,1253,1089,|,0.5003371544167229,0.4224544841537424,0.3671611598111935,|,3272.8571428571427,3058.4285714285716,18.337535596327662,24499.903768386073,|,2512.133333333333,2469,47.826843577744164,66304.4891247256,|,114751,58227,38004,36726,1635.2673418695108,2.3296335994970896e+06,|,116851,58227,38004,36726,1638.9105661705107,2.335018126735145e+06
2022-10-07T00:00:00Z,OpenSea,83,91,58,33,0.21512686824019026,290.2949784838999,|,73,52,22,|,0.8021978021978022,0.5714285714285714,0.24175824175824176,|,88.85714285714286,90.28571428571429,0.37618965133922494,505.38796306960563,|,55.68421052631579,61.421052631578945,0.2923182174559031,390.68504749368316,|,1058,933,464,508,5.554046131662159,7423.01590237998,|,1058,933,464,508,5.554046131662159,7423.01590237998
2022-10-07T00:00:00Z,Quix,4108,3632,2175,2222,20.517560397353723,27692.17665001623,|,1815,1439,1311,|,0.49972466960352424,0.39620044052863435,0.36095814977973567,|,3254.714285714286,3067.4285714285716,19.357354997846418,25847.057668615107,|,2408.9,2377.366666666667,47.21524424000015,65507.21200482231,|,111498,56743,36751,35637,1615.3228574516318,2.303120901015977e+06,|,113598,56743,36751,35637,1618.9660817526317,2.3085054282540325e+06
2022-10-06T00:00:00Z,OpenSea,133,129,56,74,0.7891132927481622,1077.97157961,|,93,43,56,|,0.7209302325581395,0.3333333333333333,0.43410852713178294,|,85,91.42857142857143,0.4233108802849679,567.9110105257199,|,54.166666666666664,59.77777777777778,0.29660662574566493,396.2622735497822,|,975,860,412,486,5.338919263421968,7132.7209238960795,|,975,860,412,486,5.338919263421968,7132.7209238960795
2022-10-06T00:00:00Z,Quix,4248,3573,2045,2070,21.72548372171311,29686.822422245918,|,1878,1357,1244,|,0.5256087321578505,0.3797928911279037,0.34816680660509375,|,3046.8571428571427,2921,20.393260073808502,27189.525210083706,|,2285.6666666666665,2272.9,46.6173083656191,64716.13385856977,|,107390,54928,35312,34326,1594.805297054278,2.275428724365961e+06,|,109490,54928,35312,34326,1598.448521355278,2.2808132516040164e+06
2022-10-05T00:00:00Z,OpenSea,91,99,41,58,0.4379649138279565,586.8525401799999,|,71,33,38,|,0.7171717171717171,0.3333333333333333,0.3838383838383838,|,78.57142857142857,90,0.40404544931687186,538.6657752433686,|,49.529411764705884,55.705882352941174,0.26763564533375334,356.16172613447526,|,842,767,369,430,4.549805970673806,6054.74934428608,|,842,767,369,430,4.549805970673806,6054.74934428608
2022-10-05T00:00:00Z,Quix,2868,2809,1466,1715,13.729142010797641,18503.064352749643,|,1353,962,894,|,0.48166607333570666,0.3424706301174795,0.3182627269490922,|,2808.4285714285716,2774.1428571428573,19.872749634178426,26387.1486588677,|,2168.7,2181.1,45.945296446533845,63812.15611769092,|,103142,53050,33955,33082,1573.079813332565,2.245741901943715e+06,|,105242,53050,33955,33082,1576.723037633565,2.2511264291817704e+06
2022-10-04T00:00:00Z,OpenSea,125,117,48,70,0.4068267109966098,549.2875342000001,|,87,45,45,|,0.7435897435897436,0.38461538461538464,0.38461538461538464,|,96,111.14285714285714,0.5522106741137629,731.7395968633685,|,46.9375,53,0.2569900660528656,341.74355025663,|,751,696,336,392,4.11184105684585,5467.89680410608,|,751,696,336,392,4.11184105684585,5467.89680410608
2022-10-04T00:00:00Z,Quix,2694,2741,1315,1720,15.344444407534962,20643.57691591651,|,1402,902,943,|,0.5114921561473914,0.32907697920466983,0.344035023713973,|,3036.1428571428573,2968.285714285714,23.956703467516103,31621.31730100328,|,2091.366666666667,2106.0333333333333,45.55579317221853,63302.91423470347,|,100274,51697,32993,32188,1559.3506713217673,2.227238837590965e+06,|,102374,51697,32993,32188,1562.9938956227672,2.2326233648290206e+06
2022-10-03T00:00:00Z,OpenSea,65,50,23,27,0.19879821357509508,261.12753875000004,|,34,17,17,|,0.68,0.34,0.34,|,84.71428571428571,100.71428571428571,0.5219783608341334,690.4658831687258,|,41.733333333333334,48.733333333333334,0.24700095638994932,327.9072846604053,|,626,609,291,347,3.7050143458492397,4918.60926990608,|,626,609,291,347,3.7050143458492397,4918.60926990608
2022-10-03T00:00:00Z,Quix,2394,2503,1350,1544,19.263728611161685,25193.86581526403,|,1251,899,876,|,0.49980023971234516,0.359168997203356,0.3499800239712345,|,2974,2942.1428571428573,24.24866823038631,32040.746094224076,|,2029.1666666666667,2041.2,45.12228091621932,62736.467138232045,|,97580,50295,32091,31245,1544.0062269142325,2.2065952606750485e+06,|,99680,50295,32091,31245,1547.6494512152324,2.211979787913104e+06
2022-10-02T00:00:00Z,OpenSea,54,75,29,47,0.1281579509680131,167.01530726834002,|,59,24,36,|,0.7866666666666666,0.32,0.48,|,76.42857142857143,94,0.4943142641329044,654.1354158472972,|,40.07142857142857,48.642857142857146,0.2504440094481532,332.67726651114856,|,561,575,274,330,3.5062161322741447,4657.48173115608,|,561,575,274,330,3.5062161322741447,4657.48173115608
2022-10-02T00:00:00Z,Quix,3345,3185,1826,1899,17.8379056078535,23267.12174139726,|,1639,1262,1067,|,0.5145996860282575,0.39623233908948197,0.3350078492935636,|,3213.714285714286,3140.8571428571427,24.407361686446475,32254.875480480317,|,1990.2333333333333,2003.3,44.55942857964278,62020.292213056055,|,95186,49044,31192,30369,1524.7424983030708,2.1814013948597843e+06,|,97286,49044,31192,30369,1528.3857226040707,2.18678592209784e+06
2022-10-01T00:00:00Z,OpenSea,71,71,25,46,0.45733960901854775,605.1662629949998,|,54,21,34,|,0.7605633802816901,0.29577464788732394,0.4788732394366197,|,68.85714285714286,83.57142857142857,0.47614911090387213,630.4696262375344,|,39,46.61538461538461,0.2598506293312409,345.4204941452108,|,507,516,250,294,3.3780581813061317,4490.46642388774,|,507,516,250,294,3.3780581813061317,4490.46642388774
2022-10-01T00:00:00Z,Quix,3126,3029,1733,1839,27.083220228510292,35942.77578271617,|,1631,1177,1111,|,0.5384615384615384,0.3885770881479036,0.3667877187190492,|,3358.285714285714,3303.285714285714,25.656427131239763,33945.57279627871,|,1945.2333333333333,1972.3,44.16411897001252,61560.98664821002,|,91841,47405,29930,29302,1506.9045926952172,2.158134273118387e+06,|,93941,47405,29930,29302,1510.547816996217,2.1635188003564426e+06
2022-09-30T00:00:00Z,OpenSea,56,99,51,48,0.5449754708603912,727.9563106766999,|,78,47,33,|,0.7878787878787878,0.47474747474747475,0.3333333333333333,|,59.285714285714285,74.14285714285714,0.4124734710745873,546.8939380186058,|,36.333333333333336,44.583333333333336,0.24339321435729866,323.7750134077284,|,436,462,229,260,2.920718572287584,3885.3001608927407,|,436,462,229,260,2.920718572287584,3885.3001608927407
2022-09-30T00:00:00Z,Quix,2653,2607,1407,1573,27.768895929088313,37089.44944029643,|,1204,934,781,|,0.46183352512466436,0.3582662063674722,0.29957805907172996,|,3644.714285714286,3623.4285714285716,26.124355310044894,34585.0485888054,|,1962.9,2012.1666666666667,43.55682611449715,60822.37235585982,|,88715,45774,28753,28191,1479.8213724667069,2.122191497335671e+06,|,90815,45774,28753,28191,1483.4645967677068,2.1275760245737266e+06
2022-09-29T00:00:00Z,OpenSea,88,119,53,69,0.65425527597149,873.2549326335397,|,96,50,52,|,0.8067226890756303,0.42016806722689076,0.4369747899159664,|,52.142857142857146,60.42857142857143,0.3380121383030445,448.8845852344344,|,34.54545454545455,39.63636363636363,0.21597664558429025,287.0312591105492,|,380,384,182,227,2.375743101427193,3157.3438502160407,|,380,384,182,227,2.375743101427193,3157.3438502160407
2022-09-29T00:00:00Z,Quix,2579,2545,1436,1532,18.081910644302575,24070.186563733838,|,1266,967,842,|,0.49744597249508843,0.3799607072691552,0.33084479371316305,|,4039,4100,27.23113750710367,35974.99775925006,|,1892,1946.8,42.70423630084715,59701.608112848866,|,86062,44570,27819,27410,1452.0524765376185,2.0851020478953745e+06,|,88162,44570,27819,27410,1455.6957008386184,2.09048657513343e+06
2022-09-28T00:00:00Z,OpenSea,213,247,101,151,1.4751214874061938,1938.3692915200008,|,240,101,146,|,0.97165991902834,0.4089068825910931,0.5910931174089069,|,40,43.714285714285715,0.24470414050000505,324.4026918582144,|,29.2,31.7,0.17214878254557028,228.4088917582501,|,292,288,132,175,1.721487825455703,2284.088917582501,|,292,288,132,175,1.721487825455703,2284.088917582501
2022-09-28T00:00:00Z,Quix,4462,4168,2119,2647,42.3168188441614,55142.24484769873,|,1984,1306,1414,|,0.4760076775431862,0.31333973128598847,0.3392514395393474,|,4272.714285714285,4324.142857142857,29.182122064078385,38349.23807168532,|,1821.0666666666666,1873.4333333333334,42.13613205498743,58953.27431330834,|,83483,43304,26852,26568,1433.970565893316,2.0610318613316407e+06,|,85583,43304,26852,26568,1437.613790194316,2.0664163885696963e+06
2022-09-27T00:00:00Z,OpenSea,46,44,25,25,0.1952005180392033,260.3715383375,|,38,22,21,|,0.8636363636363636,0.5,0.4772727272727273,|,10.428571428571429,9.285714285714286,0.03465171162154436,48.54790405178572,|,8.777777777777779,7.777777777777778,0.027374037561056577,38.413291784722226,|,79,48,31,29,0.2463663380495092,345.7196260625,|,79,48,31,29,0.2463663380495092,345.7196260625
2022-09-27T00:00:00Z,Quix,2259,2558,1292,1585,17.388197747626425,23579.578468462114,|,1241,869,823,|,0.48514464425332293,0.3397185301016419,0.3217357310398749,|,4363,4467.142857142857,82.1479330126416,109437.14753311146,|,1689.2666666666667,1747.7,40.79251964502548,57214.58269993853,|,79021,41320,25546,25154,1391.6537470491546,2.005889616483942e+06,|,81121,41320,25546,25154,1395.2969713501545,2.0112741437219975e+06
2022-09-26T00:00:00Z,OpenSea,7,3,3,3,0.005149536666491645,6.8142675000000015,|,,,,|,,,,|,4.142857142857143,3.4285714285714284,0.006910406535673771,11.579145246428572,|,4.125,3.25,0.006395727501288235,10.668510965625002,|,33,10,9,8,0.05116582001030588,85.34808772500001,|,33,10,9,8,0.05116582001030588,85.34808772500001
2022-09-26T00:00:00Z,Quix,4072,3894,2057,2339,20.37458280358283,26692.771519057704,|,1951,1311,1323,|,0.5010272213662044,0.3366718027734977,0.33975346687211094,|,4320.857142857143,4361.857142857143,121.54459299574167,162772.78550913432,|,1637.8,1679.1,40.25769600112519,56495.299758700465,|,76762,40079,24677,24331,1374.2655493015282,1.9823100380154797e+06,|,78862,40079,24677,24331,1377.908773602528,1.9876945652535353e+06
2022-09-25T00:00:00Z,Quix,4357,4322,2326,2600,26.58136372140653,35102.002951985996,|,2233,1518,1384,|,0.516658954187876,0.35122628412771867,0.32022211938917167,|,3821.714285714286,3885.8571428571427,120.97274976867907,162049.7155490043,|,1512.4333333333334,1558.1666666666667,39.63887220152117,55695.76011181521,|,72690,38128,23366,23008,1353.8909664979453,1.955617266496422e+06,|,74790,38128,23366,23008,1357.5341907989452,1.9610017937344776e+06
