dt,marketplace,num_trades,num_users,unique_buyers,unique_sellers,eth_value_traded,usd_value_traded,|,new_users,new_buyers,new_sellers,| (1),pct_new_users,pct_new_buyers,pct_new_sellers,| (2),num_trades_7dma,num_users_7dma,eth_value_traded_7dma,usd_value_traded_7dma,| (3),num_trades_30dma,num_users_30dma,eth_value_traded_30dma,usd_value_traded_30dma,| (4),running_num_trades_in_period,total_users_in_period,total_buyers_in_period,total_sellers_in_period,running_eth_value_traded_in_period,running_usd_value_traded_in_period,| (5),running_num_trades,total_users,total_buyers,total_sellers,running_eth_value_traded,running_usd_value_traded
2022-11-15T00:00:00Z,OpenSea,131,133,61,73,1.2869350639018287,1625.4013040319994,|,68,43,29,|,0.5112781954887218,0.3233082706766917,0.21804511278195488,|,170,168.85714285714286,2.4924390110983308,3095.2176973702503,|,310.6666666666667,251.06666666666666,6.521153121904419,9601.891618791917,|,12295,5976,3179,3448,227.71292193840856,329652.80413307494,|,12295,5976,3179,3448,227.71292193840856,329652.80413307494
2022-11-15T00:00:00Z,Quix,3990,3766,2495,2522,37.316020719171284,47085.86060390758,|,2307,1996,1695,|,0.6125862984599044,0.5300053106744557,0.4500796601168348,|,2938.285714285714,2856.4285714285716,25.95488218763888,32516.477507722735,|,3131.6,2991.4666666666667,32.455192646181516,46518.91684937926,|,225798,110560,80678,70889,2742.356748370074,3.8979744795625447e+06,|,227898,110560,80678,70889,2745.9999726710744,3.9033590068006003e+06
2022-11-14T00:00:00Z,OpenSea,76,98,58,40,1.122188893934946,1377.5398851313525,|,52,44,13,|,0.5306122448979592,0.4489795918367347,0.1326530612244898,|,173.85714285714286,174.85714285714286,2.6174248454134164,3317.979644387107,|,344.06666666666666,268.56666666666666,7.212256264991705,10492.011567488782,|,12164,5908,3136,3419,226.42598687450672,328027.4028290429,|,12164,5908,3136,3419,226.42598687450672,328027.4028290429
2022-11-14T00:00:00Z,Quix,3346,3040,2007,1730,25.49520685207821,31327.39040894937,|,1810,1575,1093,|,0.5953947368421053,0.5180921052631579,0.3595394736842105,|,2897.1428571428573,2812.5714285714284,24.914034125302518,32187.936976406203,|,3097.5666666666666,2956.633333333333,32.39615965407674,46472.991317587366,|,221808,108253,78682,69194,2705.0407276509027,3.850888618958637e+06,|,223908,108253,78682,69194,2708.683951951903,3.8562731461966927e+06
2022-11-13T00:00:00Z,OpenSea,191,191,90,111,1.0044230153062366,1249.1329966909407,|,111,74,57,|,0.581151832460733,0.387434554973822,0.29842931937172773,|,195.42857142857142,189.85714285714286,2.827044599613496,3705.2110992354865,|,346.1666666666667,271.3,7.208066806882669,10488.927155897738,|,12088,5856,3092,3406,225.30379798057177,326649.8629439116,|,12088,5856,3092,3406,225.30379798057177,326649.8629439116
2022-11-13T00:00:00Z,Quix,3421,3062,1990,1834,25.12063577890933,31278.71182372163,|,1850,1577,1196,|,0.6041802743305029,0.515022860875245,0.3905943827563684,|,2934.4285714285716,2869.5714285714284,25.82619898681824,34909.2165209479,|,3069.3333333333335,2931.0666666666666,32.032070067486394,46055.72548868824,|,218462,106443,77107,68101,2679.5455207988243,3.8195612285496877e+06,|,220562,106443,77107,68101,2683.1887450998247,3.8249457557877433e+06
2022-11-12T00:00:00Z,OpenSea,202,190,76,122,1.432949407323413,1811.1371981281598,|,98,58,56,|,0.5157894736842106,0.30526315789473685,0.29473684210526313,|,208.28571428571428,197.28571428571428,3.0582107694023994,4132.326791977166,|,341.26666666666665,266.8,7.183015614605237,10458.413017682724,|,11897,5745,3018,3349,224.29937496526554,325400.72994722065,|,11897,5745,3018,3349,224.29937496526554,325400.72994722065
2022-11-12T00:00:00Z,Quix,3271,3149,1985,2051,30.642674932321054,38737.549854030825,|,1869,1615,1355,|,0.5935217529374405,0.5128612257859638,0.4302953318513814,|,3108.4285714285716,3048.8571428571427,27.68808639302502,39272.47199542543,|,3012.4333333333334,2886,31.607794748580613,45558.16496435519,|,215041,104593,75530,66905,2654.424885019915,3.7882825167259662e+06,|,217141,104593,75530,66905,2658.0681093209155,3.793667043964022e+06
2022-11-11T00:00:00Z,OpenSea,167,155,59,98,4.667684493582756,5879.103915322928,|,74,35,44,|,0.4774193548387097,0.22580645161290322,0.2838709677419355,|,236.57142857142858,216.14285714285714,3.573001516483832,5053.789412040451,|,339.3,264.5,7.162971870756899,10433.513607958315,|,11695,5647,2960,3293,222.86642555794214,323589.5927490925,|,11695,5647,2960,3293,222.86642555794214,323589.5927490925
2022-11-11T00:00:00Z,Quix,2387,2525,1616,1367,22.446696798190548,28463.564589298054,|,1483,1279,796,|,0.5873267326732673,0.5065346534653465,0.31524752475247525,|,3223.1428571428573,3158,28.665416946999045,42534.18093988158,|,2968.233333333333,2846.4333333333334,31.108654638092982,44930.73797793626,|,211770,102724,73915,65550,2623.782210087594,3.7495449668719354e+06,|,213870,102724,73915,65550,2627.4254343885946,3.754929494109991e+06
2022-11-10T00:00:00Z,OpenSea,207,200,70,133,2.7615418997075953,3372.3240858808717,|,85,39,52,|,0.425,0.195,0.26,|,237.14285714285714,219.42857142857142,3.601357345453898,5334.312796295418,|,336.93333333333334,262.56666666666666,7.044308289411882,10285.427501432587,|,11528,5573,2925,3249,218.19874106435938,317710.4888337696,|,11528,5573,2925,3249,218.19874106435938,317710.4888337696
2022-11-10T00:00:00Z,Quix,1874,1986,1006,1168,16.107664740803198,19624.44549516037,|,886,699,458,|,0.446122860020141,0.35196374622356497,0.23061430010070494,|,3355,3317.5714285714284,31.025869229581954,47310.75885273278,|,2969.633333333333,2837.5666666666666,31.003178051213084,44814.08600475897,|,209383,101241,72636,64754,2601.3355132894035,3.7210814022826375e+06,|,211483,101241,72636,64754,2604.978737590404,3.726465929520693e+06
2022-11-09T00:00:00Z,OpenSea,216,215,115,103,5.171350303931537,6351.884496405503,|,100,71,35,|,0.46511627906976744,0.3302325581395349,0.16279069767441862,|,234.85714285714286,217.71428571428572,3.9272403385615013,5963.295021624678,|,332.4,258,6.965794971817001,10190.45171758189,|,11321,5488,2886,3197,215.4371991646518,314338.1647478887,|,11321,5488,2886,3197,215.4371991646518,314338.1647478887
2022-11-09T00:00:00Z,Quix,2279,2467,1376,1613,24.55527549199854,31097.81977899132,|,1369,1075,920,|,0.5549250101337657,0.4357519254154844,0.37292257802999595,|,3491.5714285714284,3452.714285714286,32.6773746746924,50602.4734958755,|,2963.7,2820.9333333333334,30.822669055499507,44617.50211695229,|,207509,100355,71937,64296,2585.2278485486004,3.7014569567874772e+06,|,209609,100355,71937,64296,2588.8710728496008,3.706841484025533e+06
2022-11-08T00:00:00Z,OpenSea,158,175,72,105,2.1618359041074258,3184.7349331499986,|,77,41,42,|,0.44,0.2342857142857143,0.24,|,239.85714285714286,218.57142857142858,4.130472914087464,6531.880185830892,|,329.6,255.13333333333333,6.803007145538203,9991.338780889773,|,11105,5388,2815,3162,210.26584886072024,307986.2802514832,|,11105,5388,2815,3162,210.26584886072024,307986.2802514832
2022-11-08T00:00:00Z,Quix,3702,3459,1914,2373,30.030084282816738,44786.07688469186,|,1910,1551,1372,|,0.5521827117664064,0.4483954900260191,0.39664642960393176,|,3644.5714285714284,3548.1428571428573,33.212340753397704,52503.15829576521,|,2937.4666666666667,2793.366666666667,30.323567623614743,44000.430393586175,|,205230,98986,70862,63376,2560.672573056602,3.670359137008486e+06,|,207330,98986,70862,63376,2564.315797357602,3.6757436642465414e+06
2022-11-07T00:00:00Z,OpenSea,227,203,81,123,2.589527173335508,4088.160069070003,|,102,50,64,|,0.5024630541871922,0.24630541871921183,0.31527093596059114,|,266.42857142857144,234.28571428571428,5.265693113056277,8359.9601262485,|,326.9,252.23333333333332,6.740139078756371,9897.312023981773,|,10947,5311,2774,3120,208.10401295661282,304801.5453183332,|,10947,5311,2774,3120,208.10401295661282,304801.5453183332
2022-11-07T00:00:00Z,Quix,3607,3439,2000,2165,31.880360882688272,50376.34722074121,|,1871,1516,1322,|,0.5440535039255597,0.44082582145972665,0.38441407385867987,|,3569.5714285714284,3492,32.79985964711572,52256.3748255018,|,2892.5666666666666,2756.4,29.845838230142476,43197.98202089019,|,201528,97076,69311,62004,2530.642488773785,3.625573060123794e+06,|,203628,97076,69311,62004,2534.2857130747852,3.6309575873618494e+06
2022-11-06T00:00:00Z,OpenSea,281,243,99,147,2.6225862038285586,4238.942845882697,|,139,69,82,|,0.5720164609053497,0.2839506172839506,0.3374485596707819,|,269.85714285714283,240.28571428571428,6.367001060134568,10101.05326598785,|,322.06666666666666,248.26666666666668,6.665347988387171,9776.345644896104,|,10720,5209,2724,3056,205.5144857832773,300713.3852492632,|,10720,5209,2724,3056,205.5144857832773,300713.3852492632
