project,launch_time,num_contracts,type,num_transactions,txs_per_day,time_elapsed
Optigladiator,2022-10-02T06:33:31Z,1,NFT Only Project,2850,41.52487208976819,68.63356481481482
Words3,2022-11-23T00:23:48Z,1,Contract Project,1270,75.19103036133879,16.8903125
Beamer Bridge,2022-07-05T13:18:55Z,6,Contract Project,7123,45.26792365785141,157.35203703703704
Paraswap,2022-07-15T15:47:00Z,17,Contract Project,14901,101.19579501586621,147.24920138888888
Chainhop,2022-05-11T08:48:05Z,72,Contract Project,70954,333.8381545183246,212.54011574074073
CybernatedRounds,2022-08-15T07:16:21Z,1,NFT Only Project,558,4.785435011122063,116.60381944444444
Clipper,2022-02-04T00:19:30Z,4,Contract Project,359818,1164.861787607124,308.8932986111111
RabbitHole Credentials: L2,2022-10-04T22:57:49Z,1,NFT Only Project,26434,400.8186614373047,65.95002314814815
Polynomial Protocol,2022-03-29T06:32:42Z,177,Contract Project,106516,416.67362331391854,255.63413194444445
OmniForce,2022-04-24T15:01:13Z,1,NFT Only Project,141,0.6149659276044002,229.28099537037036
Dope Wars,2021-11-17T20:10:24Z,68,Contract Project,10890,28.13471601592786,387.06628472222224
Timeless Finance,2022-09-06T20:34:20Z,7,Contract Project,295,3.1366406465457146,94.04966435185185
Ooki,2022-05-16T10:00:10Z,53,Contract Project,227,1.0940283227537508,207.49005787037038
Optimistic Explorer,2022-07-19T22:28:33Z,1,NFT Only Project,248153,1735.6955817858502,142.97034722222222
Uniswap,2021-06-13T00:00:00Z,1,ERC20 Only Project,12143,22.284543159358854,544.9068402777777
OptiDudes,2022-04-26T04:53:11Z,1,NFT Only Project,68,0.2986343091946755,227.70324074074074
Cryptovania,2022-05-26T18:48:12Z,2,NFT Only Project,3090,15.675462683496464,197.12336805555555
Multichain,2021-11-15T07:28:30Z,63,Contract Project,107589,276.15573742951085,389.59538194444445
Arrakis Finance,2022-01-09T15:51:34Z,47,Contract Project,25269,75.60000037397602,334.2460300925926
1inch,2021-08-06T08:24:24Z,32,Contract Project,422261,860.7794335642998,490.5565625
