project,launch_time,num_contracts,type,num_transactions,txs_per_day,time_elapsed
Xmasbook,2021-12-19T08:46:34Z,1,NFT Only Project,198,0.5568975333214167,355.54116898148146
MagicBaby,2022-10-02T18:55:20Z,1,NFT Only Project,3977,58.383625600232165,68.11841435185185
Oliens,2022-07-08T08:45:17Z,1,NFT Only Project,5414,35.03253414321314,154.5420601851852
Peanut,2022-10-06T10:07:24Z,1,Contract Project,230,3.566719022339916,64.48503472222222
OptiChads,2022-08-02T02:41:21Z,1,NFT Only Project,13041,100.47398537755913,129.79479166666667
Across,2021-11-18T07:45:15Z,41,Contract Project,170204,440.2771715055276,386.58375
OaycNFT,2022-10-15T07:02:14Z,1,NFT Only Project,14273,256.645751721586,55.613622685185184
Sushi,2022-05-04T05:08:25Z,167,Contract Project,23200,105.60207056933388,219.69266203703702
BICO,2022-06-10T22:07:53Z,1,ERC20 Only Project,305,1.6759650759202256,181.9846990740741
SDL,2022-06-02T13:22:28Z,1,ERC20 Only Project,29,0.15235127524572087,190.34957175925925
Lady Foxy,2022-08-07T16:26:33Z,1,NFT Only Project,266,2.1413321720288483,124.22173611111111
Ethdubai,2021-11-29T14:49:03Z,21,Contract Project,365,0.9725826436187772,375.2894444444444
Poop Nation,2022-08-30T22:47:42Z,1,NFT Only Project,407,4.031417375994948,100.9570486111111
Birth of Galaxy (OPT),2022-06-05T12:57:31Z,1,NFT Only Project,587,3.132890632238935,187.36689814814815
SpaceHook,2022-02-21T19:57:15Z,1,NFT Only Project,2499,8.585403840070084,291.0754166666667
Sabiler,2022-03-07T15:02:18Z,2,Contract Project,2350,8.475180106969095,277.28024305555556
Tofunft,2021-12-20T05:43:17Z,1,Contract Project,5477,15.442591564878962,354.6684490740741
Llama,2022-05-04T21:33:02Z,6,Contract Project,619,2.826369150712577,219.00890046296297
NerdApeDAONFT,2022-06-29T16:16:27Z,1,NFT Only Project,1483,9.085409279921583,163.22875
Barnbridge,2021-12-10T13:13:35Z,145,Contract Project,705,1.9349221685562696,364.3557407407407
SPANK,2022-01-13T21:44:33Z,1,ERC20 Only Project,88,0.26666593715126624,330.00090277777775
Optimistic Apes,2022-03-04T20:39:01Z,1,NFT Only Project,2901,10.358997206564222,280.04641203703704
Fraxswap,2022-07-29T02:40:35Z,18,Contract Project,938,7.010708382310044,133.79532407407407
Bored WOW,2022-06-26T02:34:09Z,1,NFT Only Project,3560,21.34295231683693,166.79979166666666
Set Protocol,2021-11-29T18:10:35Z,1190,Contract Project,4877,13.000150927488288,375.14949074074076
Tip Party,2022-01-19T02:53:29Z,1,Contract Project,25,0.07697367450441604,324.78636574074073
Rekt Frens,2022-08-31T03:44:07Z,1,NFT Only Project,625,6.203399830716111,100.75120370370371
RGT,2021-06-13T00:00:00Z,1,ERC20 Only Project,96,0.17617690383747428,544.9068402777777
OmniChicks,2022-04-17T16:32:37Z,1,NFT Only Project,716,3.0311045110355654,236.21752314814816
Flashstake,2022-09-28T21:55:10Z,6,Contract Project,76,1.0556504161173177,71.9935300925926
Lido,2022-08-05T08:23:37Z,5,Contract Project,3856,30.468458921066045,126.55710648148148
Warzilla,2022-04-27T16:10:50Z,1,NFT Only Project,136,0.601151070465246,226.23265046296297
Rainbow,2021-11-13T14:26:04Z,5,Contract Project,1974,5.0446530365020195,391.3054050925926
Olympus,2022-02-28T19:58:34Z,6,Contract Project,302,1.0631013960743296,284.0745023148148
Aelin,2021-12-21T00:15:00Z,184,Contract Project,30764,86.92938935660416,353.8964236111111
Dragonia,2022-06-15T15:55:57Z,15,Contract Project,2538,14.3193254395351,177.24298611111112
PolyEgg,2022-08-30T09:56:28Z,1,NFT Only Project,1665,16.40513251110764,101.49262731481481
0x,2021-12-22T05:13:01Z,51,Contract Project,214240,607.4465491197435,352.6894675925926
The Vintract,2022-08-12T12:05:17Z,1,NFT Only Project,1884,15.778475391787511,119.40317129629629
HAN,2022-08-23T01:28:40Z,1,ERC20 Only Project,36,0.3307447466996504,108.8452662037037
PREMIA,2022-07-30T09:10:37Z,1,ERC20 Only Project,303,2.2863702492394395,132.5244675925926
Early Optimists,2022-08-31T17:19:17Z,1,NFT Only Project,51450,513.5493393364183,100.18511574074074
Good Mornings,2022-08-29T13:02:17Z,1,NFT Only Project,33,0.3223802590032308,102.36358796296297
OmniMonke,2022-04-24T16:59:34Z,1,NFT Only Project,163,0.7111729834659049,229.19880787037036
Gladiaxy,2021-12-13T17:58:44Z,3,Contract Project,94,0.2602740985963126,361.1577199074074
Radioshack Swap,2022-05-30T19:54:28Z,52,Contract Project,156,0.8079663428882699,193.07734953703704
Kromatika,2021-11-15T19:37:38Z,26,Contract Project,18131,46.59858841103,389.08903935185185
Quix,2021-12-18T00:44:35Z,44,Contract Project,479918,1344.7756696195468,356.87587962962965
Poly Network,2021-11-15T07:36:41Z,10,Contract Project,2304,5.9139140626044435,389.5896990740741
Hashflow,2022-05-02T00:56:26Z,41,Contract Project,33972,153.11831143076466,221.86765046296296
Uniswap V3,2021-07-08T19:10:23Z,567,Contract Project,3.194592e+06,6154.003074362252,519.1079629629629
Squibz,2022-02-27T01:31:32Z,1,NFT Only Project,217,0.7591572677319007,285.84327546296294
Bongswap,2022-01-04T14:16:23Z,20,Contract Project,216,0.6365820173766589,339.3121296296296
Dodo,2022-04-15T02:17:07Z,121,Contract Project,5870,24.580043428775703,238.81162037037038
Fortal Warriors,2022-06-04T14:12:23Z,1,NFT Only Project,510,2.7082295662161635,188.31490740740742
Teleportr/ Warp Speed,2022-04-16T07:39:36Z,1,Contract Project,64159,270.0434707947724,237.58767361111111
Nested,2022-04-07T17:47:39Z,43,Contract Project,43503,176.72263061593068,246.16541666666666
kev0,2022-04-04T16:14:23Z,1,NFT Only Project,650,2.6080308029985666,249.23018518518518
Optimistic Bunnies,2021-11-12T20:47:01Z,2,Contract Project,4413,11.256479846529603,392.04085648148146
MaBoy NFTs,2022-08-20T00:47:29Z,1,NFT Only Project,1307,11.682800011835418,111.87386574074074
Lyra,2021-08-21T07:13:22Z,185,Contract Project,252379,530.6473377805684,475.6058912037037
ROCKETS - AstarCats Official,2022-05-02T03:24:25Z,1,NFT Only Project,1590,7.16975550620167,221.76488425925925
Maker,2021-07-07T16:27:27Z,2,Contract Project,307,0.5901336824726239,520.2211111111111
CLC,2022-04-28T00:10:51Z,2,ERC20 Only Project,1188,5.25898031017999,225.89930555555554
Quest3,2022-03-31T14:41:29Z,77,Contract Project,60340,238.2205400293594,253.29469907407406
Symphony Finance,2022-06-10T11:45:02Z,15,Contract Project,6565,35.988924200720405,182.4172337962963
Cryptotesters,2022-05-20T15:59:44Z,1,NFT Only Project,1714,8.433364367939872,203.2403587962963
Gamma,2022-04-26T21:05:58Z,59,Contract Project,3716,16.368046952176304,227.02769675925927
Alpha Gal,2022-08-31T02:34:01Z,1,NFT Only Project,15102,149.82160059983167,100.79988425925926
Instadapp,2022-01-13T18:38:29Z,1146,Contract Project,19429,58.85255259552894,330.13011574074073
Flekos,2022-05-17T00:02:05Z,1,NFT Only Project,480,2.319900858249202,206.9053935185185
Curve,2022-01-17T12:50:01Z,80,Contract Project,248767,762.218936789303,326.37210648148147
Metaverse Cards,2022-10-15T19:08:48Z,1,NFT Only Project,5358,97.22538829253355,55.1090625
Connext,2021-11-16T03:46:20Z,29,Contract Project,42958,110.50298929935363,388.74966435185183
Optimistic Bored Dinos,2022-05-19T16:35:17Z,1,NFT Only Project,101,0.49457516829577297,204.2156712962963
Abacus,2022-06-15T22:20:30Z,71,Contract Project,7756,43.82516691004957,176.9759375
Optiland Citizens,2022-03-26T11:20:47Z,1,NFT Only Project,1087,4.20610170657464,258.4340740740741
DF,2021-12-09T09:58:48Z,1,ERC20 Only Project,364,0.9959205372605212,365.49100694444445
Hidden Hand,2022-08-15T16:13:12Z,3,Contract Project,164,1.4109832161945217,116.23100694444445
Router Protocol,2022-03-10T10:57:21Z,89,Contract Project,10281,37.46032790286647,274.4503472222222
OmniSneaker,2022-04-14T23:11:05Z,1,NFT Only Project,295,1.2346153834975597,238.94081018518517
Optimistic Loogies,2021-11-25T22:05:26Z,21,Contract Project,4002,10.559745666628746,378.986400462963
Reaper Farm,2022-07-04T14:07:20Z,300,Contract Project,23827,150.5004967207802,158.31841435185186
Zerion,2022-03-09T12:56:29Z,1,Contract Project,35112,127.5095472121821,275.36761574074075
Rubicon,2021-08-16T19:18:41Z,150,Contract Project,942330,1962.7695974260882,480.10219907407406
Apetimism,2022-05-18T12:07:27Z,16,Contract Project,12390,60.32083478712441,205.40166666666667
World Wide Crazy (OPT),2022-06-07T08:35:03Z,1,NFT Only Project,720,3.880373126619629,185.54916666666668
GIVnaut NFT (GiveStation),2022-09-28T18:15:54Z,1,NFT Only Project,107,1.4831078463316232,72.1457986111111
Insuredao,2022-07-01T13:52:53Z,67,Contract Project,235,1.4566556695285626,161.3284490740741
OptiNYAN,2021-12-18T16:40:59Z,1,ERC20 Only Project,61,0.17124647444241245,356.21171296296296
Optimistic Cats,2022-08-23T16:49:51Z,1,NFT Only Project,784,7.245469014735329,108.20555555555555
Silly Seals,2022-07-22T21:49:49Z,1,NFT Only Project,240,1.7143194451081296,139.99724537037036
Sided Finance,2022-11-16T10:46:11Z,1,Contract Project,56,2.3872349243627826,23.45810185185185
Boringdao,2021-11-24T07:36:40Z,17,Contract Project,1240,3.258101743970607,380.5897106481481
Openocean,2022-01-20T08:20:08Z,16,Contract Project,13491,41.69557357551596,323.55952546296294
hobbits house,2022-09-20T19:16:53Z,1,NFT Only Project,1727,21.559620964672707,80.10344907407408
DOLA,2022-05-27T20:38:34Z,1,ERC20 Only Project,638,3.2543262403727096,196.04672453703705
Beethoven X,2022-04-23T06:02:34Z,311,Contract Project,413898,1794.445800675281,230.65505787037037
UST,2022-02-21T15:03:53Z,1,ERC20 Only Project,199,0.6831934397917105,291.27914351851854
Opensea,2022-06-27T17:55:35Z,2,Contract Project,22882,138.54451942477743,165.15990740740742
Crypto Geometric (OPT),2022-06-26T07:57:49Z,1,NFT Only Project,673,4.04022156071651,166.57502314814815
Gelato,2022-01-09T13:17:19Z,30,Contract Project,65665,196.3941430301849,334.35314814814814
Umbra,2022-03-02T21:35:10Z,2,Contract Project,17413,61.746602493260845,282.00741898148146
Optipunks,2021-11-14T23:01:07Z,1,NFT Only Project,8978,23.023598485599507,389.94773148148147
OptiMonkeysGang,2022-06-12T09:40:34Z,1,NFT Only Project,1721,9.534432234596649,180.50366898148147
Pickle Finance,2022-01-19T23:42:37Z,85,Contract Project,22726,70.15953423985783,323.91891203703705
Steampunk Foxes,2022-08-21T00:12:06Z,1,NFT Only Project,2064,18.611623811201127,110.8984375
TokenMasks,2022-06-16T14:39:15Z,1,NFT Only Project,1350,7.6575650361252725,176.29625
Aethernity,2022-06-02T18:48:56Z,1,NFT Only Project,391,2.056564910056028,190.1228587962963
GYSR,2022-05-15T17:31:36Z,1,ERC20 Only Project,234,1.1240458444979848,208.1765625
Animal Coloring Books,2021-12-17T01:48:37Z,12,Contract Project,762,2.129494433320264,357.831412037037
Punk Domains,2022-02-23T21:24:33Z,27,Contract Project,4231,14.639389131611631,289.01479166666667
OptiCryptoDickbutts,2022-08-26T00:43:56Z,1,NFT Only Project,639,6.035343252385979,105.87633101851851
Defi Saver,2022-01-28T13:03:38Z,6698,Contract Project,27422,86.95386076868515,315.36265046296296
Gregs Op,2022-07-10T23:22:24Z,1,NFT Only Project,623,4.100492976045492,151.93295138888888
ZINU,2022-01-21T01:46:34Z,1,ERC20 Only Project,225,0.6969551270962566,322.83283564814815
Furucombo,2022-10-21T07:29:04Z,9,Contract Project,1369,27.603595513379556,49.594988425925926
Tarot Finance,2022-05-06T14:19:15Z,262,Contract Project,173284,797.4041196881313,217.3101388888889
Ripae,2022-08-04T12:58:59Z,25,Contract Project,21794,171.11333163462072,127.36587962962963
OpenSeaOnOptimism,2022-09-28T08:24:37Z,1,NFT Only Project,3566,49.14796500934618,72.55641203703703
Jarvis Network,2022-08-30T09:29:11Z,29,Contract Project,391,3.851777529473468,101.51157407407408
BabyDinos,2022-10-08T03:35:09Z,1,NFT Only Project,3863,61.55446400215999,62.75743055555556
AIApE,2022-08-17T18:31:35Z,1,NFT Only Project,56,0.49064743882523687,114.13490740740741
Perpetual Protocol,2021-11-24T07:03:14Z,505,Contract Project,7.639243e+06,20070.897316362614,380.61292824074076
Velodrome,2022-06-01T20:01:23Z,1812,Contract Project,2.69076e+06,14082.399864119867,191.0725462962963
GenesisKami,2022-06-13T17:09:30Z,1,NFT Only Project,2901,16.189346966037924,179.19190972222222
Kwenta,2022-02-12T00:34:04Z,36170,Contract Project,222772,740.3936566836205,300.8831828703704
Qidao,2022-04-05T18:46:44Z,42,Contract Project,144145,580.9384639303381,248.12438657407407
LYRA,2021-12-06T06:05:37Z,1,ERC20 Only Project,23379,63.41737030971178,368.65293981481483
O3,2022-06-08T09:15:52Z,1,ERC20 Only Project,573,3.10534060349884,184.52082175925926
Ren,2022-07-04T02:35:01Z,82,Contract Project,220,1.3853974964013047,158.7991898148148
Reflexer,2021-06-13T00:00:00Z,1,ERC20 Only Project,463,0.8496865257994852,544.9068402777777
Dforce,2021-11-26T11:42:52Z,94,Contract Project,12359,32.65958776621002,378.41873842592594
Zipswap,2021-12-10T18:50:39Z,133,Contract Project,71226,195.61044156486156,364.12166666666667
Pooltogether,2022-07-01T16:03:46Z,290,Contract Project,325401,2018.1464188487123,161.23755787037038
Catdao,2022-01-08T11:39:44Z,13,Contract Project,6558,19.551553643195753,335.4209143518519
Pegasus Finance,2022-01-28T21:48:12Z,35,Contract Project,7290,23.142977041437494,314.99836805555555
Superfluid,2022-03-15T14:15:02Z,91,Contract Project,5970,22.167509596281246,269.31306712962964
Ethereans,2022-07-05T15:05:23Z,11,Contract Project,83,0.5277276303740102,157.27810185185186
Opti Azuki Club,2022-10-19T06:21:43Z,1,NFT Only Project,4633,89.71421706880199,51.64175925925926
WETH,2021-06-13T00:00:00Z,1,ERC20 Only Project,482761,885.9514403487804,544.9068402777777
Naga Dao,2022-06-26T12:50:15Z,2,Contract Project,1277,7.675572971538004,166.37194444444444
Pika Protocol,2021-11-22T04:33:37Z,96,Contract Project,1.061726e+06,2774.1816412833514,382.7168287037037
Beefy Finance,2022-06-24T12:42:32Z,388,Contract Project,71503,424.6593728714564,168.37730324074073
Op,2022-04-26T13:30:36Z,6,Contract Project,1.047796e+06,4608.85861102817,227.3439236111111
HND,2022-02-12T16:07:02Z,1,ERC20 Only Project,654,2.1782915706273425,300.23528935185186
Yearn,2022-08-06T19:43:27Z,56,Contract Project,314,2.5102930007594835,125.085
Kratos Dao,2021-12-11T05:46:14Z,41,Contract Project,3997,10.990842142446064,363.66640046296294
Hop Protocol,2021-06-13T00:00:00Z,122,Contract Project,830149,1523.4695889976606,544.9068402777777
Omni Mosquitoes,2022-04-12T08:35:38Z,1,NFT Only Project,200,0.8279901693417187,241.54876157407406
BOND,2021-12-16T11:30:04Z,1,ERC20 Only Project,273,0.7616600373280326,358.4276273148148
OP Delegatooors,2022-09-20T23:45:34Z,1,NFT Only Project,35512,444.36178395459285,79.91686342592592
OP Horse Kingdom,2022-10-27T06:46:52Z,1,NFT Only Project,5405,123.89885329248935,43.62429398148148
GeneX Project,2022-05-16T20:42:30Z,1,NFT Only Project,579,2.796507116459247,207.04399305555555
Band Protocol,2021-12-14T11:32:09Z,52,Contract Project,45511,126.2699616599716,360.42618055555556
Mirror,2022-01-19T18:08:25Z,12267,Contract Project,259582,800.8058087355408,324.15099537037037
Heartbeats,2022-05-27T03:47:42Z,1,NFT Only Project,139,0.7064849181035524,196.7487152777778
MKR,2021-06-13T00:00:00Z,1,ERC20 Only Project,95,0.1743417277558339,544.9068402777777
Wardenswap,2022-04-11T10:49:18Z,19,Contract Project,28990,119.5681174027755,242.4559375
SasoshiLab,2022-06-12T13:02:05Z,1,NFT Only Project,258,1.4304428307356802,180.36372685185185
Brahma,2022-01-13T21:45:49Z,38,Contract Project,176,0.5333332959221874,330.00002314814816
Oe40,2021-12-17T15:29:57Z,2,Token Only Project,1108,3.101373703751867,357.26104166666664
Otterspace,2022-08-23T08:29:01Z,3,Contract Project,644,5.932566443579866,108.55335648148149
Gnosis Safe,2021-11-17T11:17:03Z,17270,Contract Project,71350,184.15913138491453,387.43666666666667
Unlock Protocol,2021-11-21T00:04:52Z,181,Contract Project,1483,3.86295033000285,383.90346064814815
Omniswap,2022-07-22T02:34:21Z,1,Contract Project,829,5.887798610614472,140.79965277777777
Matrix,2022-06-08T07:53:39Z,131,Contract Project,1727,9.356482244399949,184.57791666666665
Optimismpad,2022-08-14T03:29:37Z,8,Contract Project,24143,205.01646555423352,117.76127314814815
Xy Finance,2022-05-17T10:23:02Z,27,Contract Project,3432,16.621933208512026,206.47417824074074
Opengsn,2021-12-16T11:46:18Z,7,Contract Project,329,0.9179268640376053,358.4163541666667
Unidex,2022-10-24T08:13:10Z,32,Contract Project,9027,193.86069809286778,46.564363425925926
Moloch V2,2022-03-26T04:35:44Z,1,Contract Project,37,0.14301431570258086,258.7153587962963
OP Orcas,2022-09-12T16:02:44Z,1,NFT Only Project,2279,25.8277939821771,88.23827546296296
Socket,2021-12-20T09:43:11Z,34,Contract Project,279258,787.7476479776003,354.5018518518518
Adrastia Oracle,2022-06-01T00:36:22Z,7,Contract Project,11098,57.837754271795106,191.88158564814816
Firebird Finance,2022-07-07T09:08:31Z,6,Contract Project,15083,96.98061535530577,155.52592592592592
Burnt Ape,2022-09-08T15:49:54Z,1,NFT Only Project,5440,58.971987628349105,92.2471875
Kyberswap,2022-06-16T07:54:02Z,67,Contract Project,20305,114.99190269415755,176.57765046296296
motorheadz,2022-07-29T00:03:07Z,1,NFT Only Project,9577,71.52102743072135,133.90467592592591
Xtoken,2022-03-12T17:29:13Z,47,Contract Project,1613,5.926264101025174,272.1782175925926
WAD,2022-05-03T03:22:55Z,1,ERC20 Only Project,180,0.8153432158746988,220.76592592592593
Pixel Bunnies,2022-01-15T12:54:14Z,1,NFT Only Project,909,2.768225705195679,328.3691782407407
Nuke Vaults,2022-02-05T19:37:46Z,98,Contract Project,1110,3.614587928722093,307.0889467592593
EQZ,2022-03-17T10:39:52Z,1,ERC20 Only Project,20,0.07477684111033396,267.4624884259259
tiny dinos,2022-04-05T12:41:18Z,1,NFT Only Project,545,2.19423479346779,248.37815972222222
GTC,2022-04-19T13:47:45Z,1,ERC20 Only Project,281,1.1991532669251042,234.3320138888889
Bluesweep,2022-08-17T05:01:47Z,3,Contract Project,852,7.428250131889059,114.69726851851851
motor-house,2022-08-12T18:20:29Z,1,NFT Only Project,1992,16.71945833667673,119.14261574074074
Chainlink,2021-07-19T20:39:55Z,157,Contract Project,4.199714e+06,8266.40847568693,508.04578703703703
TUSD,2022-05-23T09:46:45Z,1,ERC20 Only Project,591,2.9476401110976034,200.499375
Nice2win,2022-08-01T21:33:52Z,1,Contract Project,1546,11.891546472407972,130.00832175925925
Openxswap,2022-10-28T18:06:56Z,9,Contract Project,3159,74.94301792865606,42.15202546296296
Circle,2021-06-13T00:00:00Z,1,ERC20 Only Project,2.362266e+06,4335.174061672239,544.9068402777777
Hundred Finance,2022-02-11T23:43:36Z,50,Contract Project,6369,21.165218264236373,300.91822916666666
Synapse,2021-11-12T23:55:02Z,242,Contract Project,565168,1442.0851285499157,391.9102893518519
Granary,2022-05-26T00:38:03Z,64,Contract Project,493262,2492.7277206562044,197.88041666666666
Backed,2022-04-28T18:24:36Z,61,Contract Project,3815,16.94503028597206,225.13975694444446
Ganland,2022-05-08T04:31:10Z,5,NFT Only Project,6776,31.411302483340425,215.7185300925926
OptiNouns,2022-03-27T20:08:09Z,1,NFT Only Project,719,2.79692698938915,257.0678472222222
Web3 Savings Protocol,2022-11-16T13:08:15Z,1,Contract Project,3254,139.3012581159179,23.359444444444446
Billionaire Skull Club,2022-04-13T06:57:58Z,1,NFT Only Project,602,2.5019056702944833,240.61658564814815
ELK,2022-04-30T00:29:10Z,1,ERC20 Only Project,956,4.2700191136168115,223.88658564814816
Tornado Cash,2021-12-14T19:26:45Z,47,Contract Project,14150,39.2950116972857,360.0965972222222
Opx Finance,2022-11-02T11:37:57Z,76,Contract Project,54818,1464.8542622740913,37.422152777777775
Premia,2022-07-26T18:15:57Z,58,Contract Project,13430,98.64427372827019,136.1457638888889
Zero Ape Club,2022-04-10T13:10:59Z,1,NFT Only Project,186,0.7643075089750392,243.3575462962963
Dentacoin,2021-12-07T11:49:53Z,9,Contract Project,9274,25.24129017641386,367.41386574074073
Aave,2022-03-04T21:02:50Z,90,Contract Project,614757,2195.326498937923,280.0298726851852
Nex,2022-08-31T06:07:51Z,25,Contract Project,156190,1551.7918006319944,100.65138888888889
Draconic Egg,2022-08-19T10:31:34Z,1,NFT Only Project,231,2.0539129509490177,112.46825231481482
AI Crystals,2022-02-13T15:36:41Z,1,NFT Only Project,41,0.13700627519990716,299.25636574074076
Consensus Layer Bear,2022-09-14T04:24:43Z,1,NFT Only Project,3193,36.81837181703988,86.72300925925926
BAL,2022-05-09T18:39:25Z,1,ERC20 Only Project,1982,9.256082417255138,214.1294675925926
Default NFT,2022-05-28T15:28:14Z,1,NFT Only Project,626,3.2059450915278522,195.2622337962963
Thirdweb,2022-06-23T00:01:43Z,360,Contract Project,17801,104.76991314896449,169.90564814814815
Frax Finance,2022-01-09T20:17:34Z,32,Contract Project,9197,27.530874672767606,334.06130787037034
Rubic Crosschain,2022-07-25T14:27:32Z,2,Contract Project,185,1.347371374039785,137.30438657407407
MrBlendClub,2022-06-29T04:39:08Z,1,NFT Only Project,453,2.767037476591226,163.71299768518517
Stargate Finance,2022-03-15T12:57:15Z,42,Contract Project,459905,1707.3541217762008,269.3670833333333
Aktionariat,2022-02-16T22:43:40Z,160,Contract Project,1208,4.0816347281215535,295.95984953703703
Optimistic Dishes #1,2022-07-07T09:47:52Z,1,NFT Only Project,211,1.3569254040113945,155.49859953703702
TinyNinjas,2022-05-19T16:31:39Z,1,NFT Only Project,595,2.9135503896635613,204.21819444444444
Execution Layer Bear,2022-09-14T04:27:54Z,1,NFT Only Project,2798,32.26446302169438,86.7207986111111
Ecc Domains,2022-08-10T09:44:58Z,2,Contract Project,15655,128.84708610581814,121.50061342592592
Wepiggy,2021-11-13T01:40:21Z,46,Contract Project,22726,57.998583949716924,391.83715277777776
Elk Finance,2022-04-30T07:17:28Z,24,Contract Project,7392,33.05858394580798,223.60304398148148
Circular Art,2022-01-20T19:31:57Z,2,NFT Only Project,1654,5.119269285007606,323.0929861111111
Decommas,2022-01-27T10:45:53Z,46,Contract Project,4443,14.039764028949163,316.4583101851852
Lusd,2021-06-13T00:00:00Z,1,ERC20 Only Project,2404,4.411763300263418,544.9068402777777
Celer,2021-06-13T00:00:00Z,27,Contract Project,91747,168.37189996225783,544.9068402777777
Xdao,2022-02-04T09:38:19Z,121,Contract Project,701,2.2722467189088125,308.5052314814815
Layer2dao,2022-03-09T00:53:31Z,10,Contract Project,25594,92.77569168882582,275.86967592592595
Wondrous-X,2022-08-18T15:52:47Z,1,NFT Only Project,777,6.8612188564962295,113.24518518518518
Women Ape Yacht Club,2022-08-29T06:00:36Z,1,NFT Only Project,1180,11.494653315316565,102.65642361111111
Ovm,2021-10-07T10:41:48Z,2,Contract Project,1108,2.5859987790608203,428.4611458333333
Punks Unchained,2022-04-14T06:04:25Z,1,NFT Only Project,232,0.9680632061510803,239.65377314814816
Odos,2022-10-06T05:09:31Z,2,Contract Project,436584,6748.665791196876,64.69189814814816
CRV,2022-01-24T11:09:21Z,1,ERC20 Only Project,3501,10.959735563205372,319.4420138888889
LuckyDucks,2022-08-09T10:54:18Z,1,NFT Only Project,1837,15.00173962061809,122.45246527777778
Homora V2,2022-07-07T05:08:44Z,37,Contract Project,18628,119.64614174713962,155.69244212962963
OP Bridgooor,2022-11-02T18:43:54Z,1,NFT Only Project,13392,360.7141153661623,37.126354166666665
OptiToadz,2022-08-05T06:24:19Z,1,NFT Only Project,1607,12.689518220765125,126.63995370370371
Synthetix,2021-06-13T00:00:00Z,328,Contract Project,1.415099e+06,2596.9558379531877,544.9068402777777
Atlantis World,2022-11-01T13:13:30Z,1,NFT Only Project,16797,437.9259618683616,38.35579861111111
Cryptex,2022-02-08T18:33:31Z,19,Contract Project,260,0.8548875562561222,304.1335648148148
Tipcc,2022-03-24T19:44:50Z,505,Contract Project,85,0.32681744028517135,260.08403935185186
dETH,2022-08-27T02:07:23Z,1,ERC20 Only Project,181,1.7267963942922435,104.81837962962963
Torikos,2022-10-30T06:09:15Z,1,NFT Only Project,3717,91.43817714045572,40.650416666666665
Optical Xplosions,2022-07-28T06:38:58Z,1,NFT Only Project,10869,80.73250949771119,134.6297800925926
Revert Finance,2022-07-15T19:06:35Z,4,Contract Project,20148,136.95817804001715,147.11060185185184
Slingshot,2021-12-02T16:41:23Z,43,Contract Project,379076,1018.4426488976609,372.21143518518517
Evodefi,2022-02-01T11:50:57Z,9,Contract Project,1075,3.4520060771362804,311.413125
PixelConInvaders,2022-02-10T10:08:23Z,1,NFT Only Project,33,0.10909655259179309,302.48435185185184
Diamond Protocol,2022-04-29T09:59:28Z,9,Contract Project,182,0.8107245711650706,224.4905439814815
Thales,2021-11-29T22:58:28Z,40843,Contract Project,176199,469.92719360439924,374.94957175925924
Angle,2022-06-17T17:35:13Z,37,Contract Project,5038,28.75996743450528,175.17405092592594
DHT,2022-02-09T12:53:57Z,1,ERC20 Only Project,40,0.1318524653320725,303.369375
Sonne Finance,2022-09-25T09:51:10Z,63,Contract Project,51024,675.8476200930232,75.49630787037037
Biconomy - Hyphen,2022-06-13T19:03:25Z,20,Contract Project,113621,634.3544370510358,179.11280092592594
