,chain,project,action,usd_value_out,usd_value_out_pct_share,usd_value_net,usd_value_net_pct_share,address,style,granularity
94070,Ethereum,0xbe921ea3bd0c879a8688b7fabe6b3c8a471df90d,0xbe921ea3bd0c879a8688b7fabe6b3c8a471df90d,54827844.50695578,0.00021929810031831104,54827844.50695578,0.0002729912622601944,5.0,Dollar-Weighted,project
114608,Ethereum,0xe80623a9d41f2f05780d9cd9cea0f797fd53062a,0xe80623a9d41f2f05780d9cd9cea0f797fd53062a,54474717.92565561,0.00021788567951009922,54474717.92565561,0.0002712330229561756,17.0,Dollar-Weighted,project
57905,Ethereum,0x74a81f84268744a40febc48f8b812a1f188d80c3,0x74a81f84268744a40febc48f8b812a1f188d80c3,54297681.22002054,0.0002171775755607007,12722198.05752054,6.334461873667338e-05,14.0,Dollar-Weighted,project
57560,Ethereum,0x73f8d59477f179fda1357331bce20636bede1a4a,0x73f8d59477f179fda1357331bce20636bede1a4a,54068233.94468595,0.00021625984202481996,54068233.94468595,0.000269209113826584,1.0,Dollar-Weighted,project
105215,Ethereum,0xd4b890ab9ac3c2ad9d40192ddd60f69c6aac41be,0xd4b890ab9ac3c2ad9d40192ddd60f69c6aac41be,54011094.5421007,0.0002160312982519806,35210384.2251007,0.0001753147022414355,17.0,Dollar-Weighted,project
85329,Ethereum,0xaca096d2e6492d7380c5d8e70d90e13eecc72dd4,0xaca096d2e6492d7380c5d8e70d90e13eecc72dd4,53849487.82100091,0.0002153849105040297,52302580.60413285,0.0002604178155640676,25.0,Dollar-Weighted,project
103379,Ethereum,0xd0e81b50e6fb45e94c7718855e071d74bbee358d,0xd0e81b50e6fb45e94c7718855e071d74bbee358d,53822537.771489576,0.00021527711683250262,50994173.291674025,0.0002539031738342931,26.0,Dollar-Weighted,project
109577,Ethereum,0xddd30d6f225d72b1c258cd68381ea9c510ee1fee,0xddd30d6f225d72b1c258cd68381ea9c510ee1fee,53785970.85106145,0.00021513085800623484,53785970.85106145,0.00026780370825372324,40.0,Dollar-Weighted,project
89900,Ethereum,0xb60c61dbb7456f024f9338c739b02be68e3f545c,0xb60c61dbb7456f024f9338c739b02be68e3f545c,53364704.70944856,0.00021344589545819212,16779654.91191149,8.354694983699487e-05,14.0,Dollar-Weighted,project
126427,Ethereum,across_v2,across_v2,52920576.32832883,0.00021166948948869157,18716254.807630673,9.318940167473344e-05,99.0,Dollar-Weighted,project
74720,Ethereum,0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x974caa59e49682cda0ad2bbe82983419a2ecc400,52816318.15411578,0.0002112524820401373,52816318.15411578,0.0002629757469126638,99.0,Dollar-Weighted,project
4705,Ethereum,0x08c516780f3c0c84476b0b1cd50cb459b1572183,0x08c516780f3c0c84476b0b1cd50cb459b1572183,52755439.97374839,0.00021100898406159263,52755439.97374839,0.00026267263065026013,8.0,Dollar-Weighted,project
117468,Ethereum,0xedc7001e99a37c3d23b5f7974f837387e09f9c93,0xedc7001e99a37c3d23b5f7974f837387e09f9c93,52634282.50211938,0.00021052438351589286,52634282.50211938,0.0002620693800317161,3.0,Dollar-Weighted,project
108089,Ethereum,0xdab6a01524aeeab0bc1ae33432caebb3f30e6c07,0xdab6a01524aeeab0bc1ae33432caebb3f30e6c07,52598087.33135872,0.00021037961159826803,52598087.33135872,0.00026188916201580595,3.0,Dollar-Weighted,project
21056,Ethereum,0x29d5527caa78f1946a409fa6acaf14a0a4a0274b,0x29d5527caa78f1946a409fa6acaf14a0a4a0274b,52586235.420349896,0.0002103322068244209,43945202.67952978,0.00021880590888892132,32.0,Dollar-Weighted,project
76969,Ethereum,0x9bdb521a97e95177bf252c253e256a60c3e14447,0x9bdb521a97e95177bf252c253e256a60c3e14447,52563599.16064471,0.000210241667267444,52563599.16064471,0.0002617174432597445,6.0,Dollar-Weighted,project
5953,Ethereum,0x0b54420ee63aa04da4cc87064142c6e64b70bb94,0x0b54420ee63aa04da4cc87064142c6e64b70bb94,52508045.287398964,0.00021001946522799356,52508045.287398964,0.0002614408370550473,26.0,Dollar-Weighted,project
6283,Ethereum,0x0c01e95c161c3025d1874b5734c250449036b32a,0x0c01e95c161c3025d1874b5734c250449036b32a,52423009.9555,0.0002096793444934822,52423009.9555,0.0002610174408263506,1.0,Dollar-Weighted,project
36004,Ethereum,0x4849d6ad05a8937c00cd8e3f37a294c289b5afe2,0x4849d6ad05a8937c00cd8e3f37a294c289b5afe2,52255461.35056367,0.00020900919064913658,39478619.712384745,0.00019656651331983023,24.0,Dollar-Weighted,project
